# equation of state: murnaghan.        chisq =   0.3645D-09
# a0 = 10.2090 a.u., k0 =  934 kbar, dk0 =  4.09 d2k0 =  0.000 emin =  -15.85217
# a0 =  5.40238 Ang, k0 =  93.4 GPa,  V0 =   266.01 (a.u.)^3,  V0 =   39.42 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.            Ry           Ry            Ry        GPa           Ry
#########################################################################
  9.70000     -15.82986     -15.82984    -0.00002      19.94      -15.52053
  9.80000     -15.83823     -15.83825     0.00002      14.88      -15.60016
  9.90000     -15.84446     -15.84449     0.00002      10.46      -15.67190
 10.00000     -15.84877     -15.84877    -0.00000       6.60      -15.73660
 10.10000     -15.85129     -15.85128    -0.00002       3.22      -15.79497
 10.20000     -15.85219     -15.85217    -0.00002       0.25      -15.84770
 10.30000     -15.85159     -15.85158    -0.00001      -2.36      -15.89535
 10.40000     -15.84965     -15.84966     0.00000      -4.65      -15.93847
 10.50000     -15.84647     -15.84650     0.00003      -6.66      -15.97753
 10.60000     -15.84218     -15.84220     0.00002      -8.44      -16.01299
 10.70000     -15.83688     -15.83685    -0.00002     -10.01      -16.04520
