# q point     freq (cm-1)
0.1           37.707807
0.1           37.707807
0.1           54.044248
0.1           512.912668
0.1           512.912668
0.1           515.664892
#
0.3           93.483846
0.3           93.483846
0.3           152.182565
0.3           495.644349
0.3           495.644349
0.3           509.993815
#
0.5           127.772589
0.5           127.772589
0.5           243.947213
0.5           478.303356
0.5           478.303356
0.5           495.801639
#
0.7           141.323644
0.7           141.323644
0.7           323.745727
0.7           468.909522
0.7           468.909522
0.7           472.211902
#
1.0           144.036474
1.0           144.036474
1.0           413.616247
1.0           413.616247
1.0           465.732700
1.0           465.732700
#
2.0           144.035927
2.0           144.035927
2.0           413.616189
2.0           413.616189
2.0           465.733547
2.0           465.733547
#
2.7071        137.512830
2.7071        196.684876
2.7071        286.633036
2.7071        424.461073
2.7071        477.714100
2.7071        492.784359
#
3.2728        43.012366
3.2728        53.119803
3.2728        79.035086
3.2728        511.625432
3.2728        512.313527
3.2728        513.520107
#
3.9338        102.223269
3.9338        102.223269
3.9338        272.915823
3.9338        475.729297
3.9338        496.486545
3.9338        496.486545
#
4.280239      109.470398
4.280239      109.470398
4.280239      377.031992
4.280239      418.560332
4.280239      493.211575
4.280239      493.211575
