# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000    1.011943985    1.012019721    1.007578450
    0.015015015    1.011943432    1.012019167    1.007578349
    0.030030030    1.011942475    1.012018209    1.007578173
    0.045045045    1.011941317    1.012017049    1.007577961
    0.060060060    1.011939960    1.012015691    1.007577713
    0.075075075    1.011938405    1.012014135    1.007577429
    0.090090090    1.011936653    1.012012380    1.007577109
    0.105105105    1.011934702    1.012010427    1.007576753
    0.120120120    1.011932554    1.012008276    1.007576361
    0.135135135    1.011930208    1.012005928    1.007575934
    0.150150150    1.011927666    1.012003382    1.007575470
    0.165165165    1.011924926    1.012000639    1.007574970
    0.180180180    1.011921990    1.011997699    1.007574435
    0.195195195    1.011918857    1.011994563    1.007573863
    0.210210210    1.011915528    1.011991230    1.007573256
    0.225225225    1.011912004    1.011987701    1.007572613
    0.240240240    1.011908285    1.011983977    1.007571934
    0.255255255    1.011904370    1.011980058    1.007571219
    0.270270270    1.011900261    1.011975944    1.007570469
    0.285285285    1.011895958    1.011971636    1.007569682
    0.300300300    1.011891462    1.011967134    1.007568861
    0.315315315    1.011886772    1.011962438    1.007568003
    0.330330330    1.011881889    1.011957550    1.007567110
    0.345345345    1.011876815    1.011952469    1.007566181
    0.360360360    1.011871548    1.011947197    1.007565216
    0.375375375    1.011866091    1.011941733    1.007564216
    0.390390390    1.011860443    1.011936078    1.007563180
    0.405405405    1.011854605    1.011930233    1.007562109
    0.420420420    1.011848578    1.011924198    1.007561003
    0.435435435    1.011842362    1.011917975    1.007559861
    0.450450450    1.011835958    1.011911563    1.007558683
    0.465465465    1.011829366    1.011904963    1.007557470
    0.480480480    1.011822588    1.011898176    1.007556222
    0.495495495    1.011815624    1.011891203    1.007554939
    0.510510511    1.011808474    1.011884045    1.007553620
    0.525525526    1.011801139    1.011876701    1.007552266
    0.540540541    1.011793621    1.011869173    1.007550877
    0.555555556    1.011785919    1.011861462    1.007549453
    0.570570571    1.011778035    1.011853568    1.007547994
    0.585585586    1.011769969    1.011845493    1.007546500
    0.600600601    1.011761723    1.011837236    1.007544971
    0.615615616    1.011753297    1.011828799    1.007543407
    0.630630631    1.011744691    1.011820183    1.007541808
    0.645645646    1.011735907    1.011811388    1.007540174
    0.660660661    1.011726946    1.011802416    1.007538506
    0.675675676    1.011717808    1.011793266    1.007536803
    0.690690691    1.011708494    1.011783941    1.007535065
    0.705705706    1.011699006    1.011774441    1.007533293
    0.720720721    1.011689344    1.011764767    1.007531486
    0.735735736    1.011679509    1.011754920    1.007529644
    0.750750751    1.011669503    1.011744901    1.007527768
    0.765765766    1.011659325    1.011734710    1.007525858
    0.780780781    1.011648977    1.011724350    1.007523914
    0.795795796    1.011638461    1.011713820    1.007521935
    0.810810811    1.011627777    1.011703122    1.007519922
    0.825825826    1.011616925    1.011692257    1.007517875
    0.840840841    1.011605908    1.011681226    1.007515794
    0.855855856    1.011594726    1.011670030    1.007513679
    0.870870871    1.011583381    1.011658670    1.007511530
    0.885885886    1.011571873    1.011647147    1.007509347
    0.900900901    1.011560203    1.011635463    1.007507130
    0.915915916    1.011548373    1.011623617    1.007504880
    0.930930931    1.011536383    1.011611613    1.007502596
    0.945945946    1.011524235    1.011599449    1.007500279
    0.960960961    1.011511931    1.011587129    1.007497928
    0.975975976    1.011499470    1.011574652    1.007495543
    0.990990991    1.011486854    1.011562020    1.007493125
    1.006006006    1.011474085    1.011549234    1.007490674
    1.021021021    1.011461163    1.011536296    1.007488190
    1.036036036    1.011448091    1.011523206    1.007485673
    1.051051051    1.011434868    1.011509966    1.007483123
    1.066066066    1.011421496    1.011496577    1.007480539
    1.081081081    1.011407976    1.011483040    1.007477923
    1.096096096    1.011394311    1.011469356    1.007475274
    1.111111111    1.011380500    1.011455527    1.007472592
    1.126126126    1.011366545    1.011441554    1.007469878
    1.141141141    1.011352447    1.011427438    1.007467131
    1.156156156    1.011338208    1.011413180    1.007464352
    1.171171171    1.011323828    1.011398782    1.007461540
    1.186186186    1.011309310    1.011384244    1.007458696
    1.201201201    1.011294654    1.011369569    1.007455820
    1.216216216    1.011279862    1.011354757    1.007452912
    1.231231231    1.011264935    1.011339810    1.007449971
    1.246246246    1.011249874    1.011324729    1.007446999
    1.261261261    1.011234680    1.011309515    1.007443995
    1.276276276    1.011219355    1.011294169    1.007440959
    1.291291291    1.011203900    1.011278694    1.007437892
    1.306306306    1.011188317    1.011263090    1.007434793
    1.321321321    1.011172607    1.011247358    1.007431662
    1.336336336    1.011156770    1.011231500    1.007428500
    1.351351351    1.011140809    1.011215517    1.007425307
