# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.000000000    1.011953120    1.012027694    1.007996172
    0.015015015    1.011953220    1.012027793    1.007996191
    0.030030030    1.011953518    1.012028092    1.007996246
    0.045045045    1.011954014    1.012028589    1.007996337
    0.060060060    1.011954710    1.012029285    1.007996466
    0.075075075    1.011955604    1.012030181    1.007996630
    0.090090090    1.011956697    1.012031275    1.007996832
    0.105105105    1.011957990    1.012032569    1.007997070
    0.120120120    1.011959481    1.012034062    1.007997345
    0.135135135    1.011961172    1.012035755    1.007997657
    0.150150150    1.011963062    1.012037647    1.007998005
    0.165165165    1.011965152    1.012039740    1.007998390
    0.180180180    1.011967441    1.012042032    1.007998812
    0.195195195    1.011969931    1.012044525    1.007999270
    0.210210210    1.011972622    1.012047219    1.007999765
    0.225225225    1.011975513    1.012050114    1.008000297
    0.240240240    1.011978605    1.012053209    1.008000866
    0.255255255    1.011981898    1.012056507    1.008001472
    0.270270270    1.011985394    1.012060006    1.008002114
    0.285285285    1.011989091    1.012063708    1.008002793
    0.300300300    1.011992990    1.012067612    1.008003509
    0.315315315    1.011997093    1.012071719    1.008004262
    0.330330330    1.012001399    1.012076030    1.008005052
    0.345345345    1.012005908    1.012080545    1.008005879
    0.360360360    1.012010622    1.012085265    1.008006743
    0.375375375    1.012015540    1.012090189    1.008007643
    0.390390390    1.012020664    1.012095319    1.008008581
    0.405405405    1.012025993    1.012100655    1.008009556
    0.420420420    1.012031529    1.012106197    1.008010568
    0.435435435    1.012037272    1.012111947    1.008011617
    0.450450450    1.012043222    1.012117904    1.008012703
    0.465465465    1.012049381    1.012124070    1.008013826
    0.480480480    1.012055748    1.012130445    1.008014987
    0.495495495    1.012062325    1.012137030    1.008016185
    0.510510511    1.012069113    1.012143825    1.008017420
    0.525525526    1.012076111    1.012150832    1.008018692
    0.540540541    1.012083321    1.012158050    1.008020002
    0.555555556    1.012090744    1.012165482    1.008021349
    0.570570571    1.012098379    1.012173127    1.008022734
    0.585585586    1.012106229    1.012180986    1.008024156
    0.600600601    1.012114295    1.012189060    1.008025616
    0.615615616    1.012122575    1.012197351    1.008027114
    0.630630631    1.012131073    1.012205859    1.008028649
    0.645645646    1.012139789    1.012214585    1.008030222
    0.660660661    1.012148723    1.012223530    1.008031832
    0.675675676    1.012157877    1.012232694    1.008033481
    0.690690691    1.012167252    1.012242080    1.008035167
    0.705705706    1.012176848    1.012251687    1.008036891
    0.720720721    1.012186667    1.012261518    1.008038653
    0.735735736    1.012196710    1.012271573    1.008040453
    0.750750751    1.012206978    1.012281853    1.008042292
    0.765765766    1.012217472    1.012292359    1.008044168
    0.780780781    1.012228194    1.012303093    1.008046083
    0.795795796    1.012239144    1.012314056    1.008048036
    0.810810811    1.012250324    1.012325249    1.008050027
    0.825825826    1.012261735    1.012336673    1.008052057
    0.840840841    1.012273378    1.012348330    1.008054125
    0.855855856    1.012285255    1.012360220    1.008056232
    0.870870871    1.012297367    1.012372346    1.008058378
    0.885885886    1.012309716    1.012384709    1.008060562
    0.900900901    1.012322302    1.012397310    1.008062785
    0.915915916    1.012335127    1.012410150    1.008065047
    0.930930931    1.012348193    1.012423231    1.008067348
    0.945945946    1.012361502    1.012436555    1.008069687
    0.960960961    1.012375054    1.012450122    1.008072066
    0.975975976    1.012388852    1.012463936    1.008074484
    0.990990991    1.012402897    1.012477996    1.008076942
    1.006006006    1.012417190    1.012492306    1.008079438
    1.021021021    1.012431734    1.012506866    1.008081974
    1.036036036    1.012446530    1.012521679    1.008084550
    1.051051051    1.012461579    1.012536745    1.008087165
    1.066066066    1.012476885    1.012552068    1.008089820
    1.081081081    1.012492448    1.012567648    1.008092514
    1.096096096    1.012508270    1.012583488    1.008095249
    1.111111111    1.012524353    1.012599589    1.008098023
    1.126126126    1.012540700    1.012615954    1.008100838
    1.141141141    1.012557311    1.012632584    1.008103693
    1.156156156    1.012574190    1.012649482    1.008106587
    1.171171171    1.012591339    1.012666649    1.008109523
    1.186186186    1.012608758    1.012684088    1.008112498
    1.201201201    1.012626452    1.012701801    1.008115515
    1.216216216    1.012644421    1.012719790    1.008118572
    1.231231231    1.012662668    1.012738057    1.008121669
    1.246246246    1.012681195    1.012756604    1.008124808
    1.261261261    1.012700005    1.012775435    1.008127988
    1.276276276    1.012719100    1.012794550    1.008131208
    1.291291291    1.012738482    1.012813954    1.008134470
    1.306306306    1.012758154    1.012833647    1.008137774
    1.321321321    1.012778119    1.012853633    1.008141118
    1.336336336    1.012798379    1.012873915    1.008144505
    1.351351351    1.012818936    1.012894494    1.008147933
    1.366366366    1.012839793    1.012915374    1.008151402
    1.381381381    1.012860954    1.012936557    1.008154914
    1.396396396    1.012882420    1.012958046    1.008158468
    1.411411411    1.012904195    1.012979844    1.008162064
    1.426426426    1.012926282    1.013001954    1.008165702
    1.441441441    1.012948683    1.013024379    1.008169383
    1.456456456    1.012971402    1.013047121    1.008173106
    1.471471471    1.012994441    1.013070185    1.008176872
    1.486486486    1.013017804    1.013093572    1.008180681
    1.501501502    1.013041493    1.013117286    1.008184533
    1.516516517    1.013065513    1.013141331    1.008188428
    1.531531532    1.013089866    1.013165710    1.008192366
    1.546546547    1.013114556    1.013190425    1.008196348
    1.561561562    1.013139587    1.013215481    1.008200373
    1.576576577    1.013164961    1.013240881    1.008204442
    1.591591592    1.013190682    1.013266629    1.008208555
    1.606606607    1.013216755    1.013292728    1.008212712
    1.621621622    1.013243182    1.013319182    1.008216913
    1.636636637    1.013269968    1.013345995    1.008221158
    1.651651652    1.013297116    1.013373170    1.008225448
    1.666666667    1.013324630    1.013400712    1.008229782
    1.681681682    1.013352515    1.013428625    1.008234161
