#       Energy(Ry)            Total                 X                  Y                   Z
      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00
      0.10000000E-02      0.55973194E-04      0.27606167E-04      0.27577962E-04      0.78906563E-06
      0.20000000E-02      0.11253769E-03      0.55504940E-04      0.55448460E-04      0.15842864E-05
      0.30000000E-02      0.16970058E-03      0.83699844E-04      0.83615019E-04      0.23857176E-05
      0.40000000E-02      0.22746908E-03      0.11219445E-03      0.11208121E-03      0.31934153E-05
      0.50000000E-02      0.28585049E-03      0.14099239E-03      0.14085067E-03      0.40074361E-05
      0.60000000E-02      0.34485224E-03      0.17009734E-03      0.16992706E-03      0.48278371E-05
      0.70000000E-02      0.40448183E-03      0.19951302E-03      0.19931413E-03      0.56546762E-05
      0.80000000E-02      0.46474690E-03      0.22924324E-03      0.22901565E-03      0.64880119E-05
      0.90000000E-02      0.52565519E-03      0.25929182E-03      0.25903547E-03      0.73279032E-05
      0.10000000E-01      0.58721455E-03      0.28966266E-03      0.28937748E-03      0.81744100E-05
      0.11000000E-01      0.64943295E-03      0.32035972E-03      0.32004565E-03      0.90275926E-05
      0.12000000E-01      0.71231848E-03      0.35138700E-03      0.35104397E-03      0.98875122E-05
      0.13000000E-01      0.77587934E-03      0.38274859E-03      0.38237653E-03      0.10754231E-04
      0.14000000E-01      0.84012385E-03      0.41444860E-03      0.41404744E-03      0.11627810E-04
      0.15000000E-01      0.90506046E-03      0.44649124E-03      0.44606091E-03      0.12508314E-04
      0.16000000E-01      0.97069774E-03      0.47888075E-03      0.47842119E-03      0.13395807E-04
      0.17000000E-01      0.10370444E-02      0.51162145E-03      0.51113260E-03      0.14290352E-04
      0.18000000E-01      0.11041092E-02      0.54471772E-03      0.54419951E-03      0.15192015E-04
      0.19000000E-01      0.11719012E-02      0.57817402E-03      0.57762637E-03      0.16100863E-04
      0.20000000E-01      0.12404295E-02      0.61199484E-03      0.61141770E-03      0.17016961E-04
      0.21000000E-01      0.13097032E-02      0.64618478E-03      0.64557808E-03      0.17940378E-04
      0.22000000E-01      0.13797318E-02      0.68074848E-03      0.68011216E-03      0.18871182E-04
      0.23000000E-01      0.14505248E-02      0.71569067E-03      0.71502465E-03      0.19809443E-04
      0.24000000E-01      0.15220917E-02      0.75101613E-03      0.75032035E-03      0.20755229E-04
      0.25000000E-01      0.15944425E-02      0.78672972E-03      0.78600413E-03      0.21708611E-04
      0.26000000E-01      0.16675870E-02      0.82283640E-03      0.82208092E-03      0.22669662E-04
      0.27000000E-01      0.17415353E-02      0.85934116E-03      0.85855574E-03      0.23638453E-04
      0.28000000E-01      0.18162978E-02      0.89624910E-03      0.89543368E-03      0.24615058E-04
      0.29000000E-01      0.18918848E-02      0.93356539E-03      0.93271989E-03      0.25599550E-04
      0.30000000E-01      0.19683069E-02      0.97129527E-03      0.97041965E-03      0.26592005E-04
      0.31000000E-01      0.20455748E-02      0.10094441E-02      0.10085383E-02      0.27592497E-04
      0.32000000E-01      0.21236995E-02      0.10480172E-02      0.10470811E-02      0.28601105E-04
      0.33000000E-01      0.22026919E-02      0.10870202E-02      0.10860538E-02      0.29617904E-04
      0.34000000E-01      0.22825633E-02      0.11264586E-02      0.11254618E-02      0.30642974E-04
      0.35000000E-01      0.23633252E-02      0.11663380E-02      0.11653108E-02      0.31676394E-04
      0.36000000E-01      0.24449892E-02      0.12066643E-02      0.12056066E-02      0.32718244E-04
      0.37000000E-01      0.25275669E-02      0.12474433E-02      0.12463550E-02      0.33768606E-04
      0.38000000E-01      0.26110704E-02      0.12886808E-02      0.12875620E-02      0.34827561E-04
      0.39000000E-01      0.26955118E-02      0.13303831E-02      0.13292335E-02      0.35895192E-04
      0.40000000E-01      0.27809034E-02      0.13725561E-02      0.13713758E-02      0.36971584E-04
      0.41000000E-01      0.28672579E-02      0.14152060E-02      0.14139950E-02      0.38056821E-04
      0.42000000E-01      0.29545878E-02      0.14583393E-02      0.14570975E-02      0.39150990E-04
      0.43000000E-01      0.30429062E-02      0.15019624E-02      0.15006896E-02      0.40254178E-04
      0.44000000E-01      0.31322262E-02      0.15460817E-02      0.15447780E-02      0.41366473E-04
      0.45000000E-01      0.32225611E-02      0.15907039E-02      0.15893692E-02      0.42487964E-04
      0.46000000E-01      0.33139245E-02      0.16358358E-02      0.16344700E-02      0.43618742E-04
      0.47000000E-01      0.34063302E-02      0.16814841E-02      0.16800872E-02      0.44758898E-04
      0.48000000E-01      0.34997922E-02      0.17276559E-02      0.17262278E-02      0.45908523E-04
      0.49000000E-01      0.35943247E-02      0.17743581E-02      0.17728989E-02      0.47067713E-04
      0.50000000E-01      0.36899423E-02      0.18215981E-02      0.18201076E-02      0.48236561E-04
      0.51000000E-01      0.37866595E-02      0.18693831E-02      0.18678613E-02      0.49415164E-04
      0.52000000E-01      0.38844913E-02      0.19177204E-02      0.19161673E-02      0.50603618E-04
      0.53000000E-01      0.39834530E-02      0.19666178E-02      0.19650332E-02      0.51802022E-04
      0.54000000E-01      0.40835599E-02      0.20160827E-02      0.20144667E-02      0.53010475E-04
      0.55000000E-01      0.41848277E-02      0.20661231E-02      0.20644756E-02      0.54229078E-04
      0.56000000E-01      0.42872724E-02      0.21167468E-02      0.21150677E-02      0.55457932E-04
      0.57000000E-01      0.43909102E-02      0.21679619E-02      0.21662512E-02      0.56697141E-04
      0.58000000E-01      0.44957576E-02      0.22197765E-02      0.22180343E-02      0.57946809E-04
      0.59000000E-01      0.46018313E-02      0.22721991E-02      0.22704252E-02      0.59207042E-04
      0.60000000E-01      0.47091484E-02      0.23252381E-02      0.23234324E-02      0.60477947E-04
      0.61000000E-01      0.48177262E-02      0.23789020E-02      0.23770646E-02      0.61759631E-04
      0.62000000E-01      0.49275823E-02      0.24331997E-02      0.24313304E-02      0.63052206E-04
      0.63000000E-01      0.50387346E-02      0.24881399E-02      0.24862389E-02      0.64355781E-04
      0.64000000E-01      0.51512013E-02      0.25437319E-02      0.25417989E-02      0.65670470E-04
      0.65000000E-01      0.52650009E-02      0.25999847E-02      0.25980199E-02      0.66996386E-04
      0.66000000E-01      0.53801524E-02      0.26569078E-02      0.26549110E-02      0.68333644E-04
      0.67000000E-01      0.54966748E-02      0.27145106E-02      0.27124818E-02      0.69682362E-04
      0.68000000E-01      0.56145876E-02      0.27728029E-02      0.27707421E-02      0.71042657E-04
      0.69000000E-01      0.57339107E-02      0.28317945E-02      0.28297016E-02      0.72414649E-04
      0.70000000E-01      0.58546643E-02      0.28914954E-02      0.28893704E-02      0.73798459E-04
      0.71000000E-01      0.59768687E-02      0.29519158E-02      0.29497587E-02      0.75194211E-04
      0.72000000E-01      0.61005450E-02      0.30130661E-02      0.30108769E-02      0.76602028E-04
      0.73000000E-01      0.62257143E-02      0.30749569E-02      0.30727355E-02      0.78022037E-04
      0.74000000E-01      0.63523983E-02      0.31375988E-02      0.31353452E-02      0.79454365E-04
      0.75000000E-01      0.64806189E-02      0.32010028E-02      0.31987170E-02      0.80899141E-04
      0.76000000E-01      0.66103985E-02      0.32651800E-02      0.32628620E-02      0.82356497E-04
      0.77000000E-01      0.67417598E-02      0.33301418E-02      0.33277915E-02      0.83826564E-04
      0.78000000E-01      0.68747261E-02      0.33958997E-02      0.33935170E-02      0.85309478E-04
      0.79000000E-01      0.70093209E-02      0.34624653E-02      0.34600503E-02      0.86805373E-04
      0.80000000E-01      0.71455682E-02      0.35298506E-02      0.35274033E-02      0.88314389E-04
      0.81000000E-01      0.72834924E-02      0.35980677E-02      0.35955881E-02      0.89836665E-04
      0.82000000E-01      0.74231184E-02      0.36671291E-02      0.36646171E-02      0.91372341E-04
      0.83000000E-01      0.75644715E-02      0.37370472E-02      0.37345028E-02      0.92921563E-04
      0.84000000E-01      0.77075775E-02      0.38078349E-02      0.38052582E-02      0.94484474E-04
