#       Energy(Ry)            Total                 X                  Y                   Z
      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00
      0.10000000E-02      0.52618676E-05      0.23731243E-05      0.23705817E-05      0.51816155E-06
      0.20000000E-02      0.10568109E-04      0.47661395E-05      0.47610371E-05      0.10409322E-05
      0.30000000E-02      0.15919145E-04      0.71792335E-05      0.71715538E-05      0.15683582E-05
      0.40000000E-02      0.21315405E-04      0.96125964E-05      0.96023220E-05      0.21004863E-05
      0.50000000E-02      0.26757318E-04      0.12066420E-04      0.12053534E-04      0.26373639E-05
      0.60000000E-02      0.32245321E-04      0.14540900E-04      0.14525383E-04      0.31790388E-05
      0.70000000E-02      0.37779857E-04      0.17036231E-04      0.17018066E-04      0.37255595E-05
      0.80000000E-02      0.43361370E-04      0.19552613E-04      0.19531783E-04      0.42769751E-05
      0.90000000E-02      0.48990314E-04      0.22090247E-04      0.22066732E-04      0.48333353E-05
      0.10000000E-01      0.54667145E-04      0.24649336E-04      0.24623119E-04      0.53946902E-05
      0.11000000E-01      0.60392324E-04      0.27230086E-04      0.27201148E-04      0.59610907E-05
      0.12000000E-01      0.66166319E-04      0.29832704E-04      0.29801027E-04      0.65325883E-05
      0.13000000E-01      0.71989603E-04      0.32457401E-04      0.32422967E-04      0.71092351E-05
      0.14000000E-01      0.77862653E-04      0.35104390E-04      0.35067179E-04      0.76910838E-05
      0.15000000E-01      0.83785954E-04      0.37773887E-04      0.37733880E-04      0.82781878E-05
      0.16000000E-01      0.89759994E-04      0.40466107E-04      0.40423286E-04      0.88706011E-05
      0.17000000E-01      0.95785268E-04      0.43181273E-04      0.43135618E-04      0.94683784E-05
      0.18000000E-01      0.10186228E-03      0.45919606E-04      0.45871098E-04      0.10071575E-04
      0.19000000E-01      0.10799153E-03      0.48681332E-04      0.48629951E-04      0.10680247E-04
      0.20000000E-01      0.11417353E-03      0.51466678E-04      0.51412405E-04      0.11294451E-04
      0.21000000E-01      0.12040881E-03      0.54275876E-04      0.54218691E-04      0.11914245E-04
      0.22000000E-01      0.12669788E-03      0.57109158E-04      0.57049042E-04      0.12539686E-04
      0.23000000E-01      0.13304129E-03      0.59966761E-04      0.59903692E-04      0.13170834E-04
      0.24000000E-01      0.13943955E-03      0.62848922E-04      0.62782882E-04      0.13807748E-04
      0.25000000E-01      0.14589322E-03      0.65755885E-04      0.65686851E-04      0.14450488E-04
      0.26000000E-01      0.15240285E-03      0.68687892E-04      0.68615845E-04      0.15099116E-04
      0.27000000E-01      0.15896899E-03      0.71645191E-04      0.71570111E-04      0.15753693E-04
      0.28000000E-01      0.16559221E-03      0.74628032E-04      0.74549898E-04      0.16414282E-04
      0.29000000E-01      0.17227307E-03      0.77636668E-04      0.77555459E-04      0.17080947E-04
