#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.233571178409223E+00  0.229540830020721E-16  0.428135015120732E+01  0.420747403001783E-15
     0.100000000000000E-01  0.233570707936801E+00  0.475344588883212E-04  0.428135859764322E+01  0.871308162070124E-03
     0.200000000000000E-01  0.233569296510909E+00  0.950719864900816E-04  0.428138393725893E+01  0.174269341870849E-02
     0.300000000000000E-01  0.233566944105671E+00  0.142615653336594E-03  0.428142617097839E+01  0.261423290408005E-02
     0.400000000000000E-01  0.233563650678048E+00  0.190168533596259E-03  0.428148530033981E+01  0.348600383157175E-02
     0.500000000000000E-01  0.233559416167949E+00  0.237733706896789E-03  0.428156132749348E+01  0.435808353348096E-02
     0.600000000000000E-01  0.233554240498401E+00  0.285314260151764E-03  0.428165425519853E+01  0.523054950079566E-02
     0.700000000000000E-01  0.233548123575760E+00  0.332913289392975E-03  0.428176408681872E+01  0.610347942309685E-02
     0.800000000000000E-01  0.233541065289983E+00  0.380533901609982E-03  0.428189082631722E+01  0.697695122861277E-02
     0.900000000000000E-01  0.233533065514939E+00  0.428179216598257E-03  0.428203447825052E+01  0.785104312445531E-02
     0.100000000000000E+00  0.233524124108781E+00  0.475852368817309E-03  0.428219504776120E+01  0.872583363706659E-02
     0.110000000000000E+00  0.233514240914362E+00  0.523556509260086E-03  0.428237254056981E+01  0.960140165290484E-02
     0.120000000000000E+00  0.233503415759722E+00  0.571294807334978E-03  0.428256696296537E+01  0.104778264593955E-01
     0.130000000000000E+00  0.233491648458604E+00  0.619070452761648E-03  0.428277832179529E+01  0.113551877861775E-01
     0.140000000000000E+00  0.233478938811066E+00  0.666886657481894E-03  0.428300662445347E+01  0.122335658466647E-01
     0.150000000000000E+00  0.233465286604124E+00  0.714746657586676E-03  0.428325187886771E+01  0.131130413799533E-01
     0.160000000000000E+00  0.233450691612465E+00  0.762653715260361E-03  0.428351409348575E+01  0.139936956930934E-01
     0.170000000000000E+00  0.233435153599249E+00  0.810611120743177E-03  0.428379327725964E+01  0.148756107037458E-01
     0.180000000000000E+00  0.233418672316949E+00  0.858622194312774E-03  0.428408943962930E+01  0.157588689832488E-01
     0.190000000000000E+00  0.233401247508275E+00  0.906690288285668E-03  0.428440259050437E+01  0.166435538001079E-01
     0.200000000000000E+00  0.233382878907194E+00  0.954818789039273E-03  0.428473274024432E+01  0.175297491639216E-01
     0.210000000000000E+00  0.233363566240005E+00  0.100301111905501E-02  0.428507989963731E+01  0.184175398697629E-01
     0.220000000000000E+00  0.233343309226498E+00  0.105127073898299E-02  0.428544407987744E+01  0.193070115430224E-01
     0.230000000000000E+00  0.233322107581238E+00  0.109960114972840E-02  0.428582529253964E+01  0.201982506847140E-01
     0.240000000000000E+00  0.233299961014887E+00  0.114800589455973E-02  0.428622354955357E+01  0.210913447172596E-01
     0.250000000000000E+00  0.233276869235675E+00  0.119648856123864E-02  0.428663886317482E+01  0.219863820307364E-01
     0.260000000000000E+00  0.233252831950946E+00  0.124505278417118E-02  0.428707124595442E+01  0.228834520295912E-01
     0.270000000000000E+00  0.233227848868822E+00  0.129370224657955E-02  0.428752071070609E+01  0.237826451798069E-01
     0.280000000000000E+00  0.233201919699988E+00  0.134244068269372E-02  0.428798727047106E+01  0.246840530565043E-01
     0.290000000000000E+00  0.233175044159593E+00  0.139127187996153E-02  0.428847093848069E+01  0.255877683919587E-01
     0.300000000000000E+00  0.233147221969272E+00  0.144019968127566E-02  0.428897172811641E+01  0.264938851239999E-01
     0.310000000000000E+00  0.233118452859332E+00  0.148922798721573E-02  0.428948965286669E+01  0.274024984447543E-01
     0.320000000000000E+00  0.233088736571052E+00  0.153836075830284E-02  0.429002472628154E+01  0.283137048496921E-01
     0.330000000000000E+00  0.233058072859142E+00  0.158760201726392E-02  0.429057696192387E+01  0.292276021869167E-01
     0.340000000000000E+00  0.233026461494386E+00  0.163695585130240E-02  0.429114637331722E+01  0.301442897066261E-01
     0.350000000000000E+00  0.232993902266415E+00  0.168642641437127E-02  0.429173297389090E+01  0.310638681106852E-01
     0.360000000000000E+00  0.232960394986690E+00  0.173601792944385E-02  0.429233677692073E+01  0.319864396021965E-01
     0.370000000000000E+00  0.232925939491664E+00  0.178573469077706E-02  0.429295779546657E+01  0.329121079349809E-01
     0.380000000000000E+00  0.232890535646126E+00  0.183558106616117E-02  0.429359604230574E+01  0.338409784628449E-01
     0.390000000000000E+00  0.232854183346789E+00  0.188556149914889E-02  0.429425152986201E+01  0.347731581884877E-01
     0.400000000000000E+00  0.232816882526055E+00  0.193568051125618E-02  0.429492427013058E+01  0.357087558119095E-01
     0.410000000000000E+00  0.232778633156038E+00  0.198594270412587E-02  0.429561427459831E+01  0.366478817781312E-01
     0.420000000000000E+00  0.232739435252834E+00  0.203635276164407E-02  0.429632155415870E+01  0.375906483240274E-01
     0.430000000000000E+00  0.232699288881019E+00  0.208691545199824E-02  0.429704611902235E+01  0.385371695240632E-01
     0.440000000000000E+00  0.232658194158438E+00  0.213763562966448E-02  0.429778797862167E+01  0.394875613346720E-01
     0.450000000000000E+00  0.232616151261257E+00  0.218851823731008E-02  0.429854714151018E+01  0.404419416370035E-01
     0.460000000000000E+00  0.232573160429322E+00  0.223956830759588E-02  0.429932361525566E+01  0.414004302777286E-01
     0.470000000000000E+00  0.232529221971802E+00  0.229079096486138E-02  0.430011740632770E+01  0.423631491075699E-01
     0.480000000000000E+00  0.232484336273166E+00  0.234219142667350E-02  0.430092851997827E+01  0.433302220171613E-01
     0.490000000000000E+00  0.232438503799489E+00  0.239377500521827E-02  0.430175696011595E+01  0.443017749698315E-01
     0.500000000000000E+00  0.232391725105088E+00  0.244554710851238E-02  0.430260272917338E+01  0.452779360308518E-01
     0.510000000000000E+00  0.232344000839516E+00  0.249751324140930E-02  0.430346582796736E+01  0.462588353926329E-01
     0.520000000000000E+00  0.232295331754942E+00  0.254967900637239E-02  0.430434625555143E+01  0.472446053953196E-01
     0.530000000000000E+00  0.232245718713871E+00  0.260205010398478E-02  0.430524400906137E+01  0.482353805421901E-01
     0.540000000000000E+00  0.232195162697285E+00  0.265463233316312E-02  0.430615908355235E+01  0.492312975091784E-01
     0.550000000000000E+00  0.232143664813157E+00  0.270743159103929E-02  0.430709147182840E+01  0.502324951478202E-01
     0.560000000000000E+00  0.232091226305387E+00  0.276045387247143E-02  0.430804116426352E+01  0.512391144808283E-01
     0.570000000000000E+00  0.232037848563122E+00  0.281370526914217E-02  0.430900814861488E+01  0.522512986894723E-01
     0.580000000000000E+00  0.231983533130514E+00  0.286719196819886E-02  0.430999240982722E+01  0.532691930918316E-01
     0.590000000000000E+00  0.231928281716866E+00  0.292092025038705E-02  0.431099392982940E+01  0.542929451109654E-01
     0.600000000000000E+00  0.231872096207215E+00  0.297489648762518E-02  0.431201268732216E+01  0.553227042319325E-01
