#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.233316325221475E+00  -.555813283617214E-16  0.428602670237821E+01  -.102103038561857E-14
     0.100000000000000E-01  0.233315848860917E+00  0.500199233729214E-04  0.428603525615724E+01  0.918870947401536E-03
     0.200000000000000E-01  0.233314419789753E+00  0.100044455529440E-03  0.428606091742870E+01  0.183784881893099E-02
     0.300000000000000E-01  0.233312038039609E+00  0.150078207959640E-03  0.428610368599377E+01  0.275704059562477E-02
     0.400000000000000E-01  0.233308703663529E+00  0.200125797562182E-03  0.428616356151459E+01  0.367655337225277E-02
     0.500000000000000E-01  0.233304416736430E+00  0.250191849336740E-03  0.428624054350539E+01  0.459649441396229E-02
     0.600000000000000E-01  0.233299177355796E+00  0.300280999062188E-03  0.428633463131896E+01  0.551697121265198E-02
     0.700000000000000E-01  0.233292985642516E+00  0.350397895955409E-03  0.428644582413037E+01  0.643809154298212E-02
     0.800000000000000E-01  0.233285841741994E+00  0.400547205305345E-03  0.428657412091534E+01  0.735996351791366E-02
     0.900000000000000E-01  0.233277745825358E+00  0.450733611076647E-03  0.428671952042662E+01  0.828269564367767E-02
     0.100000000000000E+00  0.233268698090963E+00  0.500961818476767E-03  0.428688202116485E+01  0.920639687404891E-02
     0.110000000000000E+00  0.233258698766033E+00  0.551236556479969E-03  0.428706162134641E+01  0.101311766638071E-01
     0.120000000000000E+00  0.233247748108555E+00  0.601562580301071E-03  0.428725831886662E+01  0.110571450212429E-01
     0.130000000000000E+00  0.233235846409359E+00  0.651944673811199E-03  0.428747211125920E+01  0.119844125595667E-01
     0.140000000000000E+00  0.233222993994417E+00  0.702387651887056E-03  0.428770299565140E+01  0.129130905470529E-01
     0.150000000000000E+00  0.233209191227359E+00  0.752896362684470E-03  0.428795096871498E+01  0.138432909557474E-01
     0.160000000000000E+00  0.233194438512236E+00  0.803475689826112E-03  0.428821602661234E+01  0.147751265085379E-01
     0.170000000000000E+00  0.233178736296471E+00  0.854130554492319E-03  0.428849816493895E+01  0.157087107243836E-01
     0.180000000000000E+00  0.233162085074072E+00  0.904865917403004E-03  0.428879737866068E+01  0.166441579614650E-01
     0.190000000000000E+00  0.233144485389073E+00  0.955686780677426E-03  0.428911366204664E+01  0.175815834580020E-01
     0.200000000000000E+00  0.233125937839190E+00  0.100659818955758E-02  0.428944700859783E+01  0.185211033704715E-01
     0.210000000000000E+00  0.233106443079772E+00  0.105760523397952E-02  0.428979741097002E+01  0.194628348089079E-01
     0.220000000000000E+00  0.233086001827931E+00  0.110871304997587E-02  0.429016486089303E+01  0.204068958689823E-01
     0.230000000000000E+00  0.233064614866978E+00  0.115992682089113E-02  0.429054934908413E+01  0.213534056604866E-01
     0.240000000000000E+00  0.233042283051063E+00  0.121125177839013E-02  0.429095086515729E+01  0.223024843318566E-01
     0.250000000000000E+00  0.233019007310094E+00  0.126269320323853E-02  0.429136939752708E+01  0.232542530903167E-01
     0.260000000000000E+00  0.232994788654886E+00  0.131425642583256E-02  0.429180493330789E+01  0.242088342172089E-01
     0.270000000000000E+00  0.232969628182559E+00  0.136594682645382E-02  0.429225745820834E+01  0.251663510780388E-01
     0.280000000000000E+00  0.232943527082186E+00  0.141776983522361E-02  0.429272695642070E+01  0.261269281267355E-01
     0.290000000000000E+00  0.232916486640659E+00  0.146973093172924E-02  0.429321341050599E+01  0.270906909036036E-01
     0.300000000000000E+00  0.232888508248789E+00  0.152183564429394E-02  0.429371680127442E+01  0.280577660264058E-01
     0.310000000000000E+00  0.232859593407639E+00  0.157408954886046E-02  0.429423710766121E+01  0.290282811739916E-01
     0.320000000000000E+00  0.232829743735021E+00  0.162649826745690E-02  0.429477430659904E+01  0.300023650618786E-01
     0.330000000000000E+00  0.232798960972211E+00  0.167906746621291E-02  0.429532837288629E+01  0.309801474091438E-01
     0.340000000000000E+00  0.232767246990806E+00  0.173180285289334E-02  0.429589927905217E+01  0.319617588959964E-01
     0.350000000000000E+00  0.232734603799731E+00  0.178471017391568E-02  0.429648699521888E+01  0.329473311113714E-01
     0.360000000000000E+00  0.232701033552351E+00  0.183779521081829E-02  0.429709148896163E+01  0.339369964898978E-01
     0.370000000000000E+00  0.232666538553641E+00  0.189106377614595E-02  0.429771272516720E+01  0.349308882375944E-01
     0.380000000000000E+00  0.232631121267431E+00  0.194452170872090E-02  0.429835066589094E+01  0.359291402456479E-01
     0.390000000000000E+00  0.232594784323587E+00  0.199817486826866E-02  0.429900527021479E+01  0.369318869917006E-01
     0.400000000000000E+00  0.232557530525185E+00  0.205202912937029E-02  0.429967649410524E+01  0.379392634280539E-01
     0.410000000000000E+00  0.232519362855519E+00  0.210609037471619E-02  0.430036429027406E+01  0.389514048563223E-01
     0.420000000000000E+00  0.232480284484974E+00  0.216036448764004E-02  0.430106860804174E+01  0.399684467880859E-01
     0.430000000000000E+00  0.232440298777611E+00  0.221485734391734E-02  0.430178939320589E+01  0.409905247912439E-01
     0.440000000000000E+00  0.232399409297467E+00  0.226957480281861E-02  0.430252658791516E+01  0.420177743218380E-01
     0.450000000000000E+00  0.232357619814417E+00  0.232452269741544E-02  0.430328013055108E+01  0.430503305413106E-01
     0.460000000000000E+00  0.232314934309578E+00  0.237970682414588E-02  0.430404995561873E+01  0.440883281192843E-01
     0.470000000000000E+00  0.232271356980125E+00  0.243513293165658E-02  0.430483599364821E+01  0.451319010221753E-01
     0.480000000000000E+00  0.232226892243422E+00  0.249080670894995E-02  0.430563817110915E+01  0.461811822881743E-01
     0.490000000000000E+00  0.232181544740441E+00  0.254673377287830E-02  0.430645641033878E+01  0.472363037893413E-01
     0.500000000000000E+00  0.232135319338253E+00  0.260291965504081E-02  0.430729062948736E+01  0.482973959819057E-01
     0.510000000000000E+00  0.232088221131622E+00  0.265936978815485E-02  0.430814074248070E+01  0.493645876460691E-01
     0.520000000000000E+00  0.232040255443562E+00  0.271608949198966E-02  0.430900665900248E+01  0.504380056169897E-01
     0.530000000000000E+00  0.231991427824739E+00  0.277308395896708E-02  0.430988828449843E+01  0.515177745089434E-01
     0.540000000000000E+00  0.231941744051717E+00  0.283035823955199E-02  0.431078552020248E+01  0.526040164349458E-01
