#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.233316387224219E+00  -.505021868117575E-16  0.428602556338657E+01  -.927725935830230E-15
     0.100000000000000E-01  0.233315910908509E+00  0.500191623802562E-04  0.428603411634323E+01  0.918856479174095E-03
     0.200000000000000E-01  0.233314481971917E+00  0.100042926547786E-03  0.428605977514718E+01  0.183781975143782E-02
     0.300000000000000E-01  0.233312100446164E+00  0.150075896940077E-03  0.428610253959802E+01  0.275699666574190E-02
     0.400000000000000E-01  0.233308766384421E+00  0.200122683290433E-03  0.428616240935596E+01  0.367649418267285E-02
     0.500000000000000E-01  0.233304479861781E+00  0.250187903263616E-03  0.428623938393253E+01  0.459641943003976E-02
     0.600000000000000E-01  0.233299240975920E+00  0.300276185076707E-03  0.428633346267769E+01  0.551687975818289E-02
     0.700000000000000E-01  0.233293049847934E+00  0.350392170099957E-03  0.428644464476357E+01  0.643798279490557E-02
     0.800000000000000E-01  0.233285906623385E+00  0.400540515432144E-03  0.428657292916406E+01  0.735983649992484E-02
     0.900000000000000E-01  0.233277811473523E+00  0.450725896444682E-03  0.428671831463096E+01  0.828254921873344E-02
     0.100000000000000E+00  0.233268764596702E+00  0.500953009288370E-03  0.428688079966643E+01  0.920622973575690E-02
     0.110000000000000E+00  0.233258766220028E+00  0.551226573356239E-03  0.428706038249082E+01  0.101309873266782E-01
     0.120000000000000E+00  0.233247816601152E+00  0.601551333695451E-03  0.428725706100772E+01  0.110569318098033E-01
     0.130000000000000E+00  0.233235916030307E+00  0.651932063360727E-03  0.428747083276419E+01  0.119841735963156E-01
     0.140000000000000E+00  0.233223064832537E+00  0.702373565701105E-03  0.428770169490732E+01  0.129128237392693E-01
     0.150000000000000E+00  0.233209263370125E+00  0.752880676571218E-03  0.428794964413677E+01  0.138429939811497E-01
     0.160000000000000E+00  0.233194512045265E+00  0.803458266457580E-03  0.428821467665272E+01  0.147747967998174E-01
     0.170000000000000E+00  0.233178811302904E+00  0.854111242509543E-03  0.428849678810029E+01  0.157083454526423E-01
     0.180000000000000E+00  0.233162161633826E+00  0.904844550463855E-03  0.428879597350930E+01  0.166437540186119E-01
     0.190000000000000E+00  0.233144563577960E+00  0.955663176450812E-03  0.428911222722966E+01  0.175811374381788E-01
     0.200000000000000E+00  0.233126017727901E+00  0.100657214866915E-02  0.428944554286253E+01  0.185206115506074E-01
     0.210000000000000E+00  0.233106524732645E+00  0.105757653891590E-02  0.428979591318729E+01  0.194622931285493E-01
     0.220000000000000E+00  0.233086085301571E+00  0.110868146395631E-02  0.429016333008362E+01  0.204062999095585E-01
     0.230000000000000E+00  0.233064700208627E+00  0.115989208671838E-02  0.429054778444954E+01  0.213527506242487E-01
     0.240000000000000E+00  0.233042370296762E+00  0.121121361729488E-02  0.429094926611469E+01  0.223017650207611E-01
     0.250000000000000E+00  0.233019096482557E+00  0.126265131373560E-02  0.429136776374949E+01  0.232534638852079E-01
     0.260000000000000E+00  0.232994879761105E+00  0.131421048261092E-02  0.429180326476956E+01  0.242079690577196E-01
     0.270000000000000E+00  0.232969721211082E+00  0.136589647932722E-02  0.429225575523619E+01  0.251654034437255E-01
     0.280000000000000E+00  0.232943622000051E+00  0.141771470817393E-02  0.429272521975217E+01  0.261258910200619E-01
     0.290000000000000E+00  0.232916583389978E+00  0.146967062208090E-02  0.429321164135357E+01  0.270895568354990E-01
     0.300000000000000E+00  0.232888606742912E+00  0.152176972206443E-02  0.429371500139790E+01  0.280565270052654E-01
     0.310000000000000E+00  0.232859693526895E+00  0.157401755633975E-02  0.429423527944792E+01  0.290269286991220E-01
     0.320000000000000E+00  0.232829845322024E+00  0.162641971907725E-02  0.429477245315220E+01  0.300008901225507E-01
     0.330000000000000E+00  0.232799063826689E+00  0.167898184877968E-02  0.429532649812218E+01  0.309785404906029E-01
     0.340000000000000E+00  0.232767350863940E+00  0.173170962625770E-02  0.429589738780650E+01  0.319600099939630E-01
     0.350000000000000E+00  0.232734708388007E+00  0.178460877218125E-02  0.429648509336213E+01  0.329454297567726E-01
     0.360000000000000E+00  0.232701138490897E+00  0.183768504418502E-02  0.429708958352388E+01  0.339349317857936E-01
     0.370000000000000E+00  0.232666643409097E+00  0.189094423350686E-02  0.429771082447164E+01  0.349286489104733E-01
     0.380000000000000E+00  0.232631225530323E+00  0.194439216113936E-02  0.429834877969638E+01  0.359267147135206E-01
     0.390000000000000E+00  0.232594887400302E+00  0.199803467347634E-02  0.429900340986540E+01  0.369292634516134E-01
     0.400000000000000E+00  0.232557631729550E+00  0.205187763743737E-02  0.429967467268740E+01  0.379364299658979E-01
     0.410000000000000E+00  0.232519461400105E+00  0.210592693505603E-02  0.430036252277801E+01  0.389483495819745E-01
     0.420000000000000E+00  0.232480379472216E+00  0.216018845751963E-02  0.430106691152614E+01  0.399651579991024E-01
     0.430000000000000E+00  0.232440389190901E+00  0.221466809865076E-02  0.430178778696238E+01  0.409869911684178E-01
     0.440000000000000E+00  0.232399493992387E+00  0.226937174782380E-02  0.430252509362959E+01  0.420139851599926E-01
     0.450000000000000E+00  0.232357697510349E+00  0.232430528231254E-02  0.430327877245699E+01  0.430462760186360E-01
     0.460000000000000E+00  0.232315003581951E+00  0.237947455906748E-02  0.430404876063784E+01  0.440839996083634E-01
     0.470000000000000E+00  0.232271416253617E+00  0.243488540592472E-02  0.430483499151213E+01  0.451272914455472E-01
     0.480000000000000E+00  0.232226939786541E+00  0.249054361225046E-02  0.430563739445409E+01  0.461762865207677E-01
     0.490000000000000E+00  0.232181578661820E+00  0.254645491902742E-02  0.430645589476661E+01  0.472311191094779E-01
     0.500000000000000E+00  0.232135337585287E+00  0.260262500839133E-02  0.430729041358151E+01  0.482919225715595E-01
     0.510000000000000E+00  0.232088221491906E+00  0.265905949262653E-02  0.430814086776783E+01  0.493588291399348E-01
