#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.233416711656137E+00  0.979771582269482E-17  0.428418339417433E+01  0.179829503768629E-15
     0.100000000000000E-01  0.233416234407658E+00  0.482568267887496E-04  0.428419197060416E+01  0.885720354369721E-03
     0.200000000000000E-01  0.233414802649378E+00  0.965169009455423E-04  0.428421770028161E+01  0.177152181744168E-02
     0.300000000000000E-01  0.233412416342799E+00  0.144783471737596E-03  0.428426058437001E+01  0.265748553976945E-02
     0.400000000000000E-01  0.233409075423796E+00  0.193059792232467E-03  0.428432062480747E+01  0.354369275565141E-02
     0.500000000000000E-01  0.233404779802683E+00  0.241349121203322E-03  0.428439782430554E+01  0.443022482511166E-02
     0.600000000000000E-01  0.233399529364298E+00  0.289654725040330E-03  0.428449218634755E+01  0.531716327601034E-02
     0.700000000000000E-01  0.233393323968127E+00  0.337979879670207E-03  0.428460371518611E+01  0.620458984632690E-02
     0.800000000000000E-01  0.233386163448429E+00  0.386327872485985E-03  0.428473241584051E+01  0.709258652666086E-02
     0.900000000000000E-01  0.233378047614425E+00  0.434702004289073E-03  0.428487829409314E+01  0.798123560299207E-02
     0.100000000000000E+00  0.233368976250479E+00  0.483105591245667E-03  0.428504135648566E+01  0.887061969974634E-02
     0.110000000000000E+00  0.233358949116325E+00  0.531541966859609E-03  0.428522161031456E+01  0.976082182320970E-02
     0.120000000000000E+00  0.233347965947327E+00  0.580014483963806E-03  0.428541906362581E+01  0.106519254053350E-01
     0.130000000000000E+00  0.233336026454760E+00  0.628526516732299E-03  0.428563372520940E+01  0.115440143479883E-01
     0.140000000000000E+00  0.233323130326125E+00  0.677081462715145E-03  0.428586560459282E+01  0.124371730676773E-01
     0.150000000000000E+00  0.233309277225502E+00  0.725682744898250E-03  0.428611471203405E+01  0.133314865408090E-01
     0.160000000000000E+00  0.233294466793935E+00  0.774333813790319E-03  0.428638105851375E+01  0.142270403495220E-01
     0.170000000000000E+00  0.233278698649853E+00  0.823038149539149E-03  0.428666465572680E+01  0.151239207281409E-01
     0.180000000000000E+00  0.233261972389522E+00  0.871799264079434E-03  0.428696551607318E+01  0.160222146102988E-01
     0.190000000000000E+00  0.233244287587554E+00  0.920620703314361E-03  0.428728365264758E+01  0.169220096767729E-01
     0.200000000000000E+00  0.233225643797441E+00  0.969506049333234E-03  0.428761907922871E+01  0.178233944040867E-01
     0.210000000000000E+00  0.233206040552139E+00  0.101845892266743E-02  0.428797181026738E+01  0.187264581139219E-01
     0.220000000000000E+00  0.233185477364709E+00  0.106748298458696E-02  0.428834186087358E+01  0.196312910233891E-01
     0.230000000000000E+00  0.233163953728980E+00  0.111658193944005E-02  0.428872924680285E+01  0.205379842962115E-01
