#       Energy(Ry)            Total                 X                  Y                   Z
      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00
      0.20000000E-03      0.32636466E-06      0.10896087E-06      0.10869100E-06      0.10871278E-06
      0.40000000E-03      0.65309433E-06      0.21804360E-06      0.21750358E-06      0.21754715E-06
      0.60000000E-03      0.98018949E-06      0.32724832E-06      0.32643789E-06      0.32650328E-06
      0.80000000E-03      0.13076506E-05      0.43657520E-06      0.43549408E-06      0.43558131E-06
      0.10000000E-02      0.16354781E-05      0.54602438E-06      0.54467230E-06      0.54478140E-06
      0.12000000E-02      0.19636725E-05      0.65559604E-06      0.65397272E-06      0.65410370E-06
      0.14000000E-02      0.22922342E-05      0.76529031E-06      0.76339548E-06      0.76354837E-06
      0.16000000E-02      0.26211636E-05      0.87510735E-06      0.87294074E-06      0.87311556E-06
      0.18000000E-02      0.29504614E-05      0.98504733E-06      0.98260865E-06      0.98280542E-06
      0.20000000E-02      0.32801279E-05      0.10951104E-05      0.10923994E-05      0.10926181E-05
      0.22000000E-02      0.36101636E-05      0.12052967E-05      0.12023131E-05      0.12025538E-05
      0.24000000E-02      0.39405689E-05      0.13156064E-05      0.13123499E-05      0.13126126E-05
      0.26000000E-02      0.42713444E-05      0.14260396E-05      0.14225100E-05      0.14227948E-05
      0.28000000E-02      0.46024905E-05      0.15365966E-05      0.15327935E-05      0.15331004E-05
      0.30000000E-02      0.49340076E-05      0.16472774E-05      0.16432006E-05      0.16435296E-05
      0.32000000E-02      0.52658963E-05      0.17580823E-05      0.17537315E-05      0.17540825E-05
      0.34000000E-02      0.55981570E-05      0.18690113E-05      0.18643862E-05      0.18647594E-05
      0.36000000E-02      0.59307901E-05      0.19800647E-05      0.19751651E-05      0.19755604E-05
      0.38000000E-02      0.62637963E-05      0.20912425E-05      0.20860681E-05      0.20864856E-05
      0.40000000E-02      0.65971758E-05      0.22025450E-05      0.21970955E-05      0.21975352E-05
      0.42000000E-02      0.69309293E-05      0.23139724E-05      0.23082475E-05      0.23087094E-05
      0.44000000E-02      0.72650571E-05      0.24255247E-05      0.24195241E-05      0.24200083E-05
      0.46000000E-02      0.75995598E-05      0.25372021E-05      0.25309256E-05      0.25314321E-05
      0.48000000E-02      0.79344378E-05      0.26490048E-05      0.26424521E-05      0.26429808E-05
      0.50000000E-02      0.82696916E-05      0.27609330E-05      0.27541038E-05      0.27546548E-05
      0.52000000E-02      0.86053217E-05      0.28729868E-05      0.28658808E-05      0.28664542E-05
      0.54000000E-02      0.89413285E-05      0.29851663E-05      0.29777833E-05      0.29783790E-05
      0.56000000E-02      0.92777126E-05      0.30974718E-05      0.30898114E-05      0.30904295E-05
      0.58000000E-02      0.96144745E-05      0.32099033E-05      0.32019653E-05      0.32026058E-05
      0.60000000E-02      0.99516145E-05      0.33224611E-05      0.33142452E-05      0.33149081E-05
      0.62000000E-02      0.10289133E-04      0.34351453E-05      0.34266512E-05      0.34273366E-05
      0.64000000E-02      0.10627031E-04      0.35479561E-05      0.35391836E-05      0.35398914E-05
      0.66000000E-02      0.10965309E-04      0.36608936E-05      0.36518423E-05      0.36525726E-05
      0.68000000E-02      0.11303966E-04      0.37739579E-05      0.37646277E-05      0.37653805E-05
      0.70000000E-02      0.11643004E-04      0.38871494E-05      0.38775398E-05      0.38783152E-05
      0.72000000E-02      0.11982424E-04      0.40004680E-05      0.39905789E-05      0.39913768E-05
      0.74000000E-02      0.12322225E-04      0.41139141E-05      0.41037450E-05      0.41045655E-05
