# equation of state: murnaghan.        chisq =   0.8353D-07
# a0 =  5.1969 a.u., k0 = 2463 kbar, dk0 =  5.91 d2k0 =  0.000 emin = -254.23756
# a0 =  2.75007 Ang, k0 = 246.3 GPa,  V0 =    70.18 (a.u.)^3,  V0 =   10.40 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.            Ry           Ry            Ry        GPa           Ry
#########################################################################
  4.90000    -254.21413    -254.21390    -0.00023      76.62     -253.90774
  5.00000    -254.22785    -254.22828     0.00043      40.99     -254.05368
  5.10000    -254.23541    -254.23554     0.00013      16.51     -254.16097
  5.20000    -254.23772    -254.23756    -0.00015      -0.44     -254.23982
  5.30000    -254.23592    -254.23567    -0.00025     -12.26     -254.29796
  5.40000    -254.23113    -254.23080    -0.00033     -20.56     -254.34115
  5.50000    -254.22375    -254.22363    -0.00012     -26.42     -254.37315
  5.60000    -254.21424    -254.21464     0.00039     -30.59     -254.39683
  5.70000    -254.20374    -254.20416     0.00042     -33.57     -254.41506
  5.80000    -254.19241    -254.19246     0.00005     -35.72     -254.42929
  5.90000    -254.18005    -254.17971    -0.00034     -37.27     -254.44024
