# equation of state: murnaghan.        chisq =   0.4816D-06
# a0 =  5.1070 a.u., k0 = 3024 kbar, dk0 =  4.80 d2k0 =  0.000 emin = -254.21777
# a0 =  2.70248 Ang, k0 = 302.5 GPa,  V0 =    66.60 (a.u.)^3,  V0 =    9.87 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.            Ry           Ry            Ry        GPa           Ry
#########################################################################
  4.60000    -254.12319    -254.12247    -0.00072     220.79     -253.39273
  4.70000    -254.16146    -254.16230     0.00084     145.24     -253.64891
  4.80000    -254.18830    -254.18908     0.00077      90.80     -253.84698
  4.90000    -254.20567    -254.20584     0.00017      51.30     -254.00053
  5.00000    -254.21529    -254.21484    -0.00045      22.45     -254.11990
  5.10000    -254.21856    -254.21776    -0.00080       1.25     -254.21294
  5.20000    -254.21663    -254.21586    -0.00077     -14.43     -254.28560
  5.30000    -254.21050    -254.21008    -0.00042     -26.09     -254.34252
  5.40000    -254.20102    -254.20112     0.00010     -34.81     -254.38732
  5.50000    -254.18892    -254.18953     0.00061     -41.37     -254.42285
  5.60000    -254.17481    -254.17572     0.00091     -46.32     -254.45132
  5.70000    -254.15919    -254.15999     0.00080     -50.09     -254.47448
  5.80000    -254.14245    -254.14260     0.00015     -52.96     -254.49368
  5.90000    -254.12489    -254.12371    -0.00118     -55.17     -254.50999
