# equation of state: murnaghan.        chisq =   0.9576D-06
# a0 =  5.3894 a.u., k0 = 1715 kbar, dk0 =  4.23 d2k0 =  0.000 emin = -254.36986
# a0 =  2.85195 Ang, k0 = 171.6 GPa,  V0 =    78.27 (a.u.)^3,  V0 =   11.60 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.            Ry           Ry            Ry        GPa           Ry
#########################################################################
  4.50000    -254.14468    -254.14345    -0.00123     359.02     -253.03270
  4.60000    -254.20729    -254.20840     0.00110     261.83     -253.34108
  4.70000    -254.25644    -254.25772     0.00128     189.65     -253.58720
  4.80000    -254.29408    -254.29481     0.00073     135.71     -253.78398
  4.90000    -254.32247    -254.32223    -0.00024      95.15     -253.94200
  5.00000    -254.34308    -254.34197    -0.00111      64.47     -254.06916
  5.10000    -254.35694    -254.35555    -0.00140      41.14     -254.17145
  5.20000    -254.36520    -254.36414    -0.00106      23.30     -254.25383
  5.30000    -254.36910    -254.36867    -0.00043       9.59     -254.32056
  5.39000    -254.36973    -254.36986     0.00013      -0.06     -254.37003
  5.50000    -254.36716    -254.36824     0.00108      -9.22     -254.41929
  5.60000    -254.36292    -254.36429     0.00137     -15.63     -254.45620
  5.70000    -254.35740    -254.35835     0.00094     -20.65     -254.48736
  5.80000    -254.35030    -254.35069     0.00040     -24.59     -254.51340
  5.90000    -254.34180    -254.34154    -0.00026     -27.71     -254.53525
  6.00000    -254.33238    -254.33107    -0.00131     -30.19     -254.55399
